Metric,Direction,Sex,AgeBand,Good,Partial
Depth: Thigh angle to horizontal (deg),<=,M,≤40,10.0,15.0
Depth: Thigh angle to horizontal (deg),<=,M,41–55,11.0,17.0
Depth: Thigh angle to horizontal (deg),<=,M,56–70,12.0,18.0
Depth: Thigh angle to horizontal (deg),<=,M,≥71,13.0,19.0
Depth: Thigh angle to horizontal (deg),<=,F,≤40,10.0,15.0
Depth: Thigh angle to horizontal (deg),<=,F,41–55,11.0,17.0
Depth: Thigh angle to horizontal (deg),<=,F,56–70,12.0,18.0
Depth: Thigh angle to horizontal (deg),<=,F,≥71,13.0,19.0
"Foot pronation (calcaneal eversion, deg)",<=,M,≤40,5.0,10.0
"Foot pronation (calcaneal eversion, deg)",<=,M,41–55,6.0,12.0
"Foot pronation (calcaneal eversion, deg)",<=,M,56–70,7.0,13.0
"Foot pronation (calcaneal eversion, deg)",<=,M,≥71,8.0,15.0
"Foot pronation (calcaneal eversion, deg)",<=,F,≤40,5.0,10.0
"Foot pronation (calcaneal eversion, deg)",<=,F,41–55,6.0,12.0
"Foot pronation (calcaneal eversion, deg)",<=,F,56–70,7.0,13.0
"Foot pronation (calcaneal eversion, deg)",<=,F,≥71,8.0,15.0
Heel lift height at bottom (% foot length),<=,M,≤40,2.0,5.0
Heel lift height at bottom (% foot length),<=,M,41–55,3.0,6.0
Heel lift height at bottom (% foot length),<=,M,56–70,4.0,7.0
Heel lift height at bottom (% foot length),<=,M,≥71,5.0,8.0
Heel lift height at bottom (% foot length),<=,F,≤40,2.0,5.0
Heel lift height at bottom (% foot length),<=,F,41–55,3.0,6.0
Heel lift height at bottom (% foot length),<=,F,56–70,4.0,7.0
Heel lift height at bottom (% foot length),<=,F,≥71,5.0,8.0
Knee tracking deviation from 2nd toe (deg),<=,M,≤40,7.0,12.0
Knee tracking deviation from 2nd toe (deg),<=,M,41–55,8.0,14.0
Knee tracking deviation from 2nd toe (deg),<=,M,56–70,9.0,15.0
Knee tracking deviation from 2nd toe (deg),<=,M,≥71,10.0,17.0
Knee tracking deviation from 2nd toe (deg),<=,F,≤40,7.0,12.0
Knee tracking deviation from 2nd toe (deg),<=,F,41–55,8.0,14.0
Knee tracking deviation from 2nd toe (deg),<=,F,56–70,9.0,15.0
Knee tracking deviation from 2nd toe (deg),<=,F,≥71,10.0,17.0
Knee valgus (worst side) (deg),<=,M,≤40,5.0,10.0
Knee valgus (worst side) (deg),<=,M,41–55,6.0,11.0
Knee valgus (worst side) (deg),<=,M,56–70,7.0,12.0
Knee valgus (worst side) (deg),<=,M,≥71,8.0,14.0
Knee valgus (worst side) (deg),<=,F,≤40,5.0,10.0
Knee valgus (worst side) (deg),<=,F,41–55,6.0,11.0
Knee valgus (worst side) (deg),<=,F,56–70,7.0,12.0
Knee valgus (worst side) (deg),<=,F,≥71,8.0,14.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,M,≤40,5.0,10.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,M,41–55,6.0,12.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,M,56–70,7.0,13.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,M,≥71,8.0,15.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,F,≤40,5.0,10.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,F,41–55,6.0,12.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,F,56–70,7.0,13.0
"L/R symmetry (knee/tibia diff at bottom, deg)",<=,F,≥71,8.0,15.0
Pelvic lateral shift at bottom (% pelvis width),<=,M,≤40,5.0,10.0
Pelvic lateral shift at bottom (% pelvis width),<=,M,41–55,6.0,12.0
Pelvic lateral shift at bottom (% pelvis width),<=,M,56–70,7.0,13.0
Pelvic lateral shift at bottom (% pelvis width),<=,M,≥71,8.0,15.0
Pelvic lateral shift at bottom (% pelvis width),<=,F,≤40,5.0,10.0
Pelvic lateral shift at bottom (% pelvis width),<=,F,41–55,6.0,12.0
Pelvic lateral shift at bottom (% pelvis width),<=,F,56–70,7.0,13.0
Pelvic lateral shift at bottom (% pelvis width),<=,F,≥71,8.0,15.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,M,≤40,10.0,20.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,M,41–55,11.0,22.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,M,56–70,12.0,23.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,M,≥71,13.0,25.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,F,≤40,10.0,20.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,F,41–55,11.0,22.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,F,56–70,12.0,23.0
"Pelvic tilt change (Butt wink flexion from neutral, deg)",<=,F,≥71,13.0,25.0
Stance width deviation from target band (% pelvis width),<=,M,≤40,10.0,20.0
Stance width deviation from target band (% pelvis width),<=,M,41–55,12.0,22.0
Stance width deviation from target band (% pelvis width),<=,M,56–70,15.0,25.0
Stance width deviation from target band (% pelvis width),<=,M,≥71,18.0,28.0
Stance width deviation from target band (% pelvis width),<=,F,≤40,10.0,20.0
Stance width deviation from target band (% pelvis width),<=,F,41–55,12.0,22.0
Stance width deviation from target band (% pelvis width),<=,F,56–70,15.0,25.0
Stance width deviation from target band (% pelvis width),<=,F,≥71,18.0,28.0
"Tempo control deviation (avg per rep, seconds)",<=,M,≤40,0.5,1.0
"Tempo control deviation (avg per rep, seconds)",<=,M,41–55,0.6,1.2
"Tempo control deviation (avg per rep, seconds)",<=,M,56–70,0.7,1.3
"Tempo control deviation (avg per rep, seconds)",<=,M,≥71,0.8,1.5
"Tempo control deviation (avg per rep, seconds)",<=,F,≤40,0.5,1.0
"Tempo control deviation (avg per rep, seconds)",<=,F,41–55,0.6,1.2
"Tempo control deviation (avg per rep, seconds)",<=,F,56–70,0.7,1.3
"Tempo control deviation (avg per rep, seconds)",<=,F,≥71,0.8,1.5
Thoracic/Head forward deviation (deg),<=,M,≤40,15.0,25.0
Thoracic/Head forward deviation (deg),<=,M,41–55,16.0,27.0
Thoracic/Head forward deviation (deg),<=,M,56–70,17.0,28.0
Thoracic/Head forward deviation (deg),<=,M,≥71,18.0,30.0
Thoracic/Head forward deviation (deg),<=,F,≤40,15.0,25.0
Thoracic/Head forward deviation (deg),<=,F,41–55,16.0,27.0
Thoracic/Head forward deviation (deg),<=,F,56–70,17.0,28.0
Thoracic/Head forward deviation (deg),<=,F,≥71,18.0,30.0
Tibia forward angle relative to vertical (deg),>=,M,≤40,15.0,10.0
Tibia forward angle relative to vertical (deg),>=,M,41–55,14.0,9.0
Tibia forward angle relative to vertical (deg),>=,M,56–70,12.0,8.0
Tibia forward angle relative to vertical (deg),>=,M,≥71,10.0,7.0
Tibia forward angle relative to vertical (deg),>=,F,≤40,15.0,10.0
Tibia forward angle relative to vertical (deg),>=,F,41–55,14.0,9.0
Tibia forward angle relative to vertical (deg),>=,F,56–70,12.0,8.0
Tibia forward angle relative to vertical (deg),>=,F,≥71,10.0,7.0
Toe-out angle deviation from target band (deg),<=,M,≤40,5.0,10.0
Toe-out angle deviation from target band (deg),<=,M,41–55,6.0,12.0
Toe-out angle deviation from target band (deg),<=,M,56–70,7.0,13.0
Toe-out angle deviation from target band (deg),<=,M,≥71,8.0,15.0
Toe-out angle deviation from target band (deg),<=,F,≤40,5.0,10.0
Toe-out angle deviation from target band (deg),<=,F,41–55,6.0,12.0
Toe-out angle deviation from target band (deg),<=,F,56–70,7.0,13.0
Toe-out angle deviation from target band (deg),<=,F,≥71,8.0,15.0
Trunk–Tibia angle difference at bottom (deg),<=,M,≤40,10.0,20.0
Trunk–Tibia angle difference at bottom (deg),<=,M,41–55,11.0,22.0
Trunk–Tibia angle difference at bottom (deg),<=,M,56–70,12.0,23.0
Trunk–Tibia angle difference at bottom (deg),<=,M,≥71,13.0,24.0
Trunk–Tibia angle difference at bottom (deg),<=,F,≤40,10.0,20.0
Trunk–Tibia angle difference at bottom (deg),<=,F,41–55,11.0,22.0
Trunk–Tibia angle difference at bottom (deg),<=,F,56–70,12.0,23.0
Trunk–Tibia angle difference at bottom (deg),<=,F,≥71,13.0,24.0
